  1.000E+00  6.6521144E+03  6.6521148E+03  4.1409991E-04  9.4400399E-04  3.6870710E-14
  2.000E+00  6.6521135E+03  6.6521161E+03  1.3007066E-03  1.5673392E-03  2.3989067E-10
  3.000E+00  6.6521118E+03  6.6521180E+03  2.0542802E-03  2.3447242E-03  3.8878628E-09
  4.000E+00  6.6521093E+03  6.6521212E+03  2.9696770E-03  4.3797182E-03  1.7325107E-08
  5.000E+00  6.6521057E+03  6.6521274E+03  4.3265924E-03  8.2891189E-03  4.9489642E-08
  6.000E+00  6.6521004E+03  6.6521386E+03  6.3633589E-03  1.4736332E-02  1.1419099E-07
  7.000E+00  6.6520927E+03  6.6521580E+03  9.3254301E-03  2.4608818E-02  2.3313843E-07
  8.000E+00  6.6520814E+03  6.6521894E+03  1.3500585E-02  3.9154685E-02  2.9545109E+01
  9.000E+00  6.6520652E+03  6.6522384E+03  1.9248402E-02  6.0088697E-02  3.4433661E+01
  1.000E+01  6.6520422E+03  6.6523124E+03  2.7020907E-02  8.9604913E-02  3.9450867E+01
  1.100E+01  6.6520103E+03  6.6524213E+03  3.7369135E-02  1.3027430E-01  4.4426434E+01
  1.200E+01  6.6519664E+03  6.6525776E+03  5.0933574E-02  1.8484855E-01  4.9189386E+01
  1.300E+01  6.6519071E+03  6.6527966E+03  6.8420613E-02  2.5602138E-01  5.3618496E+01
  1.400E+01  6.6518280E+03  6.6530960E+03  9.0570189E-02  3.4620351E-01  5.7654654E+01
  1.500E+01  6.6517241E+03  6.6534960E+03  1.1812073E-01  4.5735154E-01  6.1289470E+01
  1.600E+01  6.6515897E+03  6.6540182E+03  1.5177661E-01  5.9086813E-01  6.4546786E+01
  1.700E+01  6.6514183E+03  6.6546854E+03  1.9218154E-01  7.4757148E-01  6.7466609E+01
  1.800E+01  6.6512029E+03  6.6555211E+03  2.3989952E-01  9.2772066E-01  7.0094230E+01
  1.900E+01  6.6509359E+03  6.6565486E+03  2.9540336E-01  1.1310791E+00  7.2473992E+01
  2.000E+01  6.6506094E+03  6.6577908E+03  3.5907011E-01  1.3569988E+00  7.4646251E+01
  2.100E+01  6.6502150E+03  6.6592698E+03  4.3118181E-01  1.6045121E+00  7.6646254E+01
  2.200E+01  6.6497442E+03  6.6610066E+03  5.1193044E-01  1.8724199E+00  7.8504027E+01
  2.300E+01  6.6491882E+03  6.6630210E+03  6.0142539E-01  2.1593716E+00  8.0244747E+01
  2.400E+01  6.6485384E+03  6.6653312E+03  6.9970257E-01  2.4639322E+00  8.1889305E+01
